mol_index,mol_id,mol_id_norm,smiles,score,score_prop_used,cluster_id,scaffold_id,exact_scaffold_smiles,generic_scaffold_smiles,substitution_signature,substitution_map,mol_png_b64,mol_wt,clogp,tpsa,hbd,hba,rot_bonds,rings,heavy_atoms,formal_charge,is_neutral_ph7,fsp3,filter_mol_wt,filter_rot_bonds,filter_hbd,filter_hba,filter_mol_wt_source,filter_rot_bonds_source,filter_hbd_source,filter_hba_source,interaction_count,external_interaction_count,A467_donor,A467_acceptor,A468_donor,A468_acceptor,A533_donor,A533_acceptor,A473_donor,A473_acceptor,A538_donor,A538_acceptor,A536_donor,A536_acceptor,A470_donor,A470_acceptor,A543_donor,A543_acceptor,A486_donor,A486_acceptor,A487_donor,A487_acceptor,A488_donor,A488_acceptor,A489_donor,A489_acceptor,A490_donor,A490_acceptor,A491_donor,A491_acceptor,A492_donor,A492_acceptor,interaction_count_source,score_norm,interaction_norm,interaction_term,priority_score,druglike_score,presentation_score,passes_mol_weight_filter,passes_hbd_filter,passes_hba_filter,passes_rotb_filter,passes_formal_charge_filter,passes_neutral_filter,report_eligible,report_exclusion_reason,presentation_score_final,overall_score,priority_rank
512,EN300-6482831_14812,EN300-6482831_14812,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6cc(CCC(C)(C)O)ccc6C5)cc4F)CC2)n3C)c(=O)c1,-12.851540098179036,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCc2ccccc2C1,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCc2ccccc2C1,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC6CCCCC6C5)CC4)CC3)CC21,R1=[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])[H] | R2=[H] | R3=[H] | R5=[H].[H] | R7=[H].[H] | R8=[H].[H] | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],"{0: ('[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])[H]',), 1: ('[H]',), 2: ('[H]',), 4: ('[H]', '[H]'), 6: ('[H]', '[H]'), 7: ('[H]', '[H]'), 9: ('[H]',), 10: ('[H]',), 11: ('[H]',), 16: ('[H]C([H])[H]',), 18: ('[H]',), 20: ('[H]',), 21: ('[H]',), 22: ('[H]NC([H])([H])[H]',), 23: ('[H]',), 26: ('[H]', '[H]C([H])[H]'), 28: ('[H]', '[H]'), 29: ('[H]', '[H]'), 31: ('[H]',), 32: ('[H]', '[H]'), 34: ('F',), 35: ('[H]',), 37: ('[H]',), 38: ('[H]C([H])[H]',)}",,716.9020000000014,6.965720000000007,95.63,2.0,8.0,16.0,7.0,53.0,0.0,True,0.37209302325581395,716.902,16.0,2.0,8.0,MW,RotBonds,HBD,HBA,4.0,4.0,,,,{83},,,,,,,,,,,{73},,,,,{23},,,{4},,,,,,,,filtered_csv,0.8304083117243316,1.0,1.0,0.9321633246897326,0.6192345272727268,0.79134536585208,True,True,True,True,True,True,True,,0.79134536585208,0.791,1
19,LN02166309_3369,LN02166309_3369,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5Cc6ccc(O)cc6[C@@H](O)C5)cc4F)CC2)n3C)c(=O)c1,-12.667725490498627,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCc2ccccc2C1,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCc2ccccc2C1,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC6CCCCC6C5)CC4)CC3)CC21,R1=[H]O | R2=[H] | R3=[H] | R5=[H] | R7=[H].[H]O | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],"{0: ('[H]O',), 1: ('[H]',), 2: ('[H]',), 4: ('[H]',), 6: ('[H]', '[H]O'), 7: ('[H]', '[H]'), 8: ('[H]', '[H]'), 10: ('[H]',), 11: ('[H]',), 16: ('[H]C([H])[H]',), 18: ('[H]',), 20: ('[H]',), 21: ('[H]',), 22: ('[H]NC([H])([H])[H]',), 23: ('[H]',), 26: ('[H]', '[H]C([H])[H]'), 28: ('[H]', '[H]'), 29: ('[H]', '[H]'), 31: ('[H]',), 32: ('[H]', '[H]'), 34: ('F',), 35: ('[H]',), 37: ('[H]',), 38: ('[H]C([H])[H]',)}",,662.7660000000014,5.458720000000004,115.86000000000001,3.0,9.0,12.0,7.0,49.0,0.0,True,0.2894736842105263,662.766,12.0,3.0,9.0,MW,RotBonds,HBD,HBA,4.0,4.0,,,,{69},,,,,,,,,,,{59},,,,,{13},,{13},,,,,,,,,filtered_csv,0.808037967263703,1.0,1.0,0.9232151869054812,0.7850376727272722,0.8610353055252872,True,True,True,True,True,True,True,,0.8610353055252872,0.861,2
20,LN02043028_6851,LN02043028_6851,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)n5ncc6c(c5=O)C[NH2+]CC6)cc4F)CC2)n3C)c(=O)c1,-12.66153967462809,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)n1ncc2c(c1=O)C[NH2+]CC2,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)n1ncc2c(c1=O)C[NH2+]CC2,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC6CCCCC6C5C)CC4)CC3)CC21,R7=[H].[H] | R8=[H] | R9=[H].[H] | R10=[H].[H] | R11=[H].[H] | R12=[H] | R13=[H] | R18=[H]C([H])[H] | R20=[H] | R22=[H] | R23=[H] | R24=[H]NC([H])([H])[H] | R25=[H] | R28=[H].[H]C([H])[H] | R30=[H].[H] | R31=[H].[H] | R33=[H] | R34=[H].[H] | R36=F | R37=[H] | R39=[H] | R40=[H]C([H])[H],"{6: ('[H]', '[H]'), 7: ('[H]',), 8: ('[H]', '[H]'), 9: ('[H]', '[H]'), 10: ('[H]', '[H]'), 11: ('[H]',), 12: ('[H]',), 17: ('[H]C([H])[H]',), 19: ('[H]',), 21: ('[H]',), 22: ('[H]',), 23: ('[H]NC([H])([H])[H]',), 24: ('[H]',), 27: ('[H]', '[H]C([H])[H]'), 29: ('[H]', '[H]'), 30: ('[H]', '[H]'), 32: ('[H]',), 33: ('[H]', '[H]'), 35: ('F',), 36: ('[H]',), 38: ('[H]',), 39: ('[H]C([H])[H]',)}",,649.7510000000015,2.9284200000000027,123.66,1.0,10.0,10.0,7.0,48.0,1.0,False,0.3055555555555556,649.751,10.0,1.0,10.0,MW,RotBonds,HBD,HBA,4.0,4.0,,,,{67},,,,,,,,,,,"{57, 1}",,,{17},,{17},,,,,,,,,,,filtered_csv,0.8072851498813405,1.0,1.0,0.9229140599525362,0.8530014909090905,0.8914534038829857,True,True,True,True,True,True,True,,0.8914534038829857,0.891,3
718,EN300-7355477_20479,EN300-7355477_20479,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H]6C[C@@H](O)[C@H](O)C[C@@H]6C5)cc4F)CC2)n3C)c(=O)c1,-12.12451085795752,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CC2CCCCC2C1,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CC2CCCCC2C1,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CC6CCCCC6C5)CC4)CC3)CC21,R1=[H].[H]O | R2=[H].[H] | R3=[H] | R4=[H].[H] | R6=[H].[H] | R7=[H] | R8=[H].[H] | R9=[H].[H]O | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],"{0: ('[H]', '[H]O'), 1: ('[H]', '[H]'), 2: ('[H]',), 3: ('[H]', '[H]'), 5: ('[H]', '[H]'), 6: ('[H]',), 7: ('[H]', '[H]'), 8: ('[H]', '[H]O'), 9: ('[H]',), 10: ('[H]',), 15: ('[H]C([H])[H]',), 17: ('[H]',), 19: ('[H]',), 20: ('[H]',), 21: ('[H]NC([H])([H])[H]',), 22: ('[H]',), 25: ('[H]', '[H]C([H])[H]'), 27: ('[H]', '[H]'), 28: ('[H]', '[H]'), 30: ('[H]',), 31: ('[H]', '[H]'), 33: ('F',), 34: ('[H]',), 36: ('[H]',), 37: ('[H]C([H])[H]',)}",,654.7870000000015,4.267520000000004,115.86000000000001,3.0,9.0,12.0,7.0,48.0,0.0,True,0.43243243243243246,654.787,12.0,3.0,9.0,MW,RotBonds,HBD,HBA,4.0,4.0,,,,{72},,,,,,,,,,,{62},,,,,{25},,{12},,,,,,,,,filtered_csv,0.7419284311427957,1.0,1.0,0.8967713724571182,0.8041169818181814,0.8550768966695967,True,True,True,True,True,True,True,,0.8550768966695967,0.855,4
763,EN300-7440563_16202,EN300-7440563_16202,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5Cc6ccccc6[C@@H](CO)C5)cc4F)CC2)n3C)c(=O)c1,-12.045106629157155,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCc2ccccc2C1,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCc2ccccc2C1,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC6CCCCC6C5)CC4)CC3)CC21,R1=[H].[H]OC([H])[H] | R2=[H].[H] | R4=[H].[H] | R6=[H] | R7=[H] | R8=[H] | R9=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],"{0: ('[H]', '[H]OC([H])[H]'), 1: ('[H]', '[H]'), 3: ('[H]', '[H]'), 5: ('[H]',), 6: ('[H]',), 7: ('[H]',), 8: ('[H]',), 10: ('[H]',), 11: ('[H]',), 16: ('[H]C([H])[H]',), 18: ('[H]',), 20: ('[H]',), 21: ('[H]',), 22: ('[H]NC([H])([H])[H]',), 23: ('[H]',), 26: ('[H]', '[H]C([H])[H]'), 28: ('[H]', '[H]'), 29: ('[H]', '[H]'), 31: ('[H]',), 32: ('[H]', '[H]'), 34: ('F',), 35: ('[H]',), 37: ('[H]',), 38: ('[H]C([H])[H]',)}",,660.7940000000015,5.795620000000005,95.63,2.0,8.0,12.0,7.0,49.0,0.0,True,0.3076923076923077,660.794,12.0,2.0,8.0,MW,RotBonds,HBD,HBA,4.0,4.0,,,,{71},,,,,,,,,,,{61},,,{13},,{13},,,,,,,,,,,filtered_csv,0.73226489040297,1.0,1.0,0.8929059561611881,0.7868496454545449,0.8451806163431987,True,True,True,True,True,True,True,,0.8451806163431987,0.845,5
929,EN300-7543479_20084,EN300-7543479_20084,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[C@H]6CC[NH2+]C[C@H]6C5)cc4F)CC2)n3C)c(=O)c1,-11.79160205801509,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCC2CC[NH2+]CC2C1,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCC2CC[NH2+]CC2C1,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC6CCCCC6C5)CC4)CC3)CC21,R2=[H].[H] | R3=[H].[H] | R4=[H].[H] | R5=[H] | R6=[H] | R7=[H].[H] | R8=[H].[H] | R9=[H].[H] | R10=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],"{1: ('[H]', '[H]'), 2: ('[H]', '[H]'), 3: ('[H]', '[H]'), 4: ('[H]',), 5: ('[H]',), 6: ('[H]', '[H]'), 7: ('[H]', '[H]'), 8: ('[H]', '[H]'), 9: ('[H]', '[H]'), 10: ('[H]',), 11: ('[H]',), 16: ('[H]C([H])[H]',), 18: ('[H]',), 20: ('[H]',), 21: ('[H]',), 22: ('[H]NC([H])([H])[H]',), 23: ('[H]',), 26: ('[H]', '[H]C([H])[H]'), 28: ('[H]', '[H]'), 29: ('[H]', '[H]'), 31: ('[H]',), 32: ('[H]', '[H]'), 34: ('F',), 35: ('[H]',), 37: ('[H]',), 38: ('[H]C([H])[H]',)}",,638.8120000000015,4.109120000000004,92.00999999999999,1.0,7.0,10.0,7.0,47.0,1.0,False,0.43243243243243246,638.812,10.0,1.0,7.0,MW,RotBonds,HBD,HBA,4.0,4.0,,,,{73},,,,,,,,,,,{63},,,{23},,{23},,,,,,,,,,,filtered_csv,0.7014132369334491,1.0,1.0,0.8805652947733796,0.8789342545454542,0.8798313266708132,True,True,True,True,True,True,True,,0.8798313266708132,0.88,6
1402,EN300-111976_9536,EN300-111976_9536,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCc6ccc(O)cc6[C@@H]5C)cc4F)CC2)n3C)c(=O)c1,-11.025553618687326,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCc2ccccc2C1,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCc2ccccc2C1,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC6CCCCC6C5)CC4)CC3)CC21,R1=[H].[H]C([H])[H] | R3=[H].[H] | R4=[H].[H] | R6=[H] | R7=[H] | R8=[H]O | R9=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],"{0: ('[H]', '[H]C([H])[H]'), 2: ('[H]', '[H]'), 3: ('[H]', '[H]'), 5: ('[H]',), 6: ('[H]',), 7: ('[H]O',), 8: ('[H]',), 10: ('[H]',), 11: ('[H]',), 16: ('[H]C([H])[H]',), 18: ('[H]',), 20: ('[H]',), 21: ('[H]',), 22: ('[H]NC([H])([H])[H]',), 23: ('[H]',), 26: ('[H]', '[H]C([H])[H]'), 28: ('[H]', '[H]'), 29: ('[H]', '[H]'), 31: ('[H]',), 32: ('[H]', '[H]'), 34: ('F',), 35: ('[H]',), 37: ('[H]',), 38: ('[H]C([H])[H]',)}",,660.7940000000015,6.528820000000007,95.63,2.0,8.0,12.0,7.0,49.0,0.0,True,0.3076923076923077,660.794,12.0,2.0,8.0,MW,RotBonds,HBD,HBA,4.0,4.0,,,,{71},,,,,,,,,,,{61},,,{23},,{23},,,,,,,,,,,filtered_csv,0.6081846971697104,1.0,1.0,0.8432738788678842,0.7685196454545449,0.8096344738318815,True,True,True,True,True,True,True,,0.8096344738318815,0.81,7
480,EN300-125118_39356,EN300-125118_39356,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)n5ccc6c(C7=CC[NH2+]CC7)ccnc65)cc4F)CC2)n3C)c(=O)c1,-13.971850298748581,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)n1ccc2c(C3=CC[NH2+]CC3)ccnc21,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)n1ccc2c(C3=CC[NH2+]CC3)ccnc21,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC6C(C7CCCCC7)CCCC56)CC4)CC3)CC21,R1=[H] | R2=[H] | R5=[H] | R6=[H] | R11=[H] | R12=[H].[H] | R13=[H].[H] | R14=[H].[H] | R15=[H].[H] | R16=[H] | R17=[H] | R22=[H]C([H])[H] | R24=[H] | R26=[H] | R27=[H] | R28=[H]NC([H])([H])[H] | R29=[H] | R32=[H].[H]C([H])[H] | R34=[H].[H] | R35=[H].[H] | R37=[H] | R38=[H].[H] | R40=F | R41=[H] | R43=[H] | R44=[H]C([H])[H],"{0: ('[H]',), 1: ('[H]',), 4: ('[H]',), 5: ('[H]',), 10: ('[H]',), 11: ('[H]', '[H]'), 12: ('[H]', '[H]'), 13: ('[H]', '[H]'), 14: ('[H]', '[H]'), 15: ('[H]',), 16: ('[H]',), 21: ('[H]C([H])[H]',), 23: ('[H]',), 25: ('[H]',), 26: ('[H]',), 27: ('[H]NC([H])([H])[H]',), 28: ('[H]',), 31: ('[H]', '[H]C([H])[H]'), 33: ('[H]', '[H]'), 34: ('[H]', '[H]'), 36: ('[H]',), 37: ('[H]', '[H]'), 39: ('F',), 40: ('[H]',), 42: ('[H]',), 43: ('[H]C([H])[H]',)}",,697.8390000000013,5.452420000000004,106.59,1.0,9.0,11.0,8.0,52.0,1.0,False,0.2682926829268293,697.839,11.0,1.0,9.0,MW,RotBonds,HBD,HBA,3.0,3.0,,,,{75},,,,,,,,,,,{65},,,,,,,{28},,,,,,,,,filtered_csv,0.9667507134831214,0.6666666666666666,0.6666666666666666,0.7867002853932485,0.7973058272727268,0.7914727792390138,True,True,True,True,True,True,True,,0.7914727792390138,0.791,8
1912,EN300-6498210_15273,EN300-6498210_15273,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[C@@H](n6c(CO)nc7ccccc76)C5)cc4F)CC2)n3C)c(=O)c1,-9.397861128971421,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCC(n2cnc3ccccc32)C1,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCC(n2cnc3ccccc32)C1,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC(C6CCC7CCCCC76)C5)CC4)CC3)CC21,R1=[H]OC([H])[H] | R4=[H] | R5=[H] | R6=[H] | R7=[H] | R10=[H] | R11=[H].[H] | R12=[H].[H] | R14=[H].[H] | R15=[H] | R16=[H] | R21=[H]C([H])[H] | R23=[H] | R25=[H] | R26=[H] | R27=[H]NC([H])([H])[H] | R28=[H] | R31=[H].[H]C([H])[H] | R33=[H].[H] | R34=[H].[H] | R36=[H] | R37=[H].[H] | R39=F | R40=[H] | R42=[H] | R43=[H]C([H])[H],"{0: ('[H]OC([H])[H]',), 3: ('[H]',), 4: ('[H]',), 5: ('[H]',), 6: ('[H]',), 9: ('[H]',), 10: ('[H]', '[H]'), 11: ('[H]', '[H]'), 13: ('[H]', '[H]'), 14: ('[H]',), 15: ('[H]',), 20: ('[H]C([H])[H]',), 22: ('[H]',), 24: ('[H]',), 25: ('[H]',), 26: ('[H]NC([H])([H])[H]',), 27: ('[H]',), 30: ('[H]', '[H]C([H])[H]'), 32: ('[H]', '[H]'), 33: ('[H]', '[H]'), 35: ('[H]',), 36: ('[H]', '[H]'), 38: ('F',), 39: ('[H]',), 41: ('[H]',), 42: ('[H]C([H])[H]',)}",,714.8460000000013,5.992920000000005,113.45000000000002,2.0,10.0,13.0,8.0,53.0,0.0,True,0.3170731707317073,714.846,13.0,2.0,10.0,MW,RotBonds,HBD,HBA,4.0,4.0,,,,{77},,,,,,,,,,,{67},,,{17},,{17},,,,,,,,,,,filtered_csv,0.4100935762821304,1.0,1.0,0.7640374305128521,0.712581945454545,0.7408824622366139,True,True,True,True,True,True,True,,0.7408824622366139,0.741,9
5,LN02166309_3370,LN02166309_3370,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5Cc6ccc(O)cc6[C@H](O)C5)cc4F)CC2)n3C)c(=O)c1,-13.479351716017831,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCc2ccccc2C1,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCc2ccccc2C1,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC6CCCCC6C5)CC4)CC3)CC21,R1=[H]O | R2=[H] | R3=[H] | R5=[H] | R7=[H].[H]O | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],"{0: ('[H]O',), 1: ('[H]',), 2: ('[H]',), 4: ('[H]',), 6: ('[H]', '[H]O'), 7: ('[H]', '[H]'), 8: ('[H]', '[H]'), 10: ('[H]',), 11: ('[H]',), 16: ('[H]C([H])[H]',), 18: ('[H]',), 20: ('[H]',), 21: ('[H]',), 22: ('[H]NC([H])([H])[H]',), 23: ('[H]',), 26: ('[H]', '[H]C([H])[H]'), 28: ('[H]', '[H]'), 29: ('[H]', '[H]'), 31: ('[H]',), 32: ('[H]', '[H]'), 34: ('F',), 35: ('[H]',), 37: ('[H]',), 38: ('[H]C([H])[H]',)}",,662.7660000000014,5.458720000000004,115.86000000000001,3.0,9.0,12.0,7.0,49.0,0.0,True,0.2894736842105263,662.766,12.0,3.0,9.0,MW,RotBonds,HBD,HBA,3.0,3.0,,,,{69},,,,,,,,,,,{59},,,,,{13},,,,,,,,,,,filtered_csv,0.9068133500652273,0.6666666666666666,0.6666666666666666,0.7627253400260909,0.7850376727272722,0.7727658897416225,True,True,True,True,True,True,True,,0.7727658897416225,0.773,10
